classcode,spotcode,distcode,activity,evolution,previous,historially,becomecomplex,area,arealargest,class
H,A,X,I,S,I,I,I,I,I,A
D,R,O,I,S,I,I,P,I,I,A
C,S,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,I,I,I,A
H,S,X,I,I,I,I,P,I,I,A
C,A,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
C,A,O,I,S,I,I,P,I,I,A
C,A,O,I,P,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
C,A,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,I,I,P,I,I,P,I,I,A
C,S,O,P,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
D,R,I,I,S,I,I,P,I,I,B
H,S,X,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
B,X,O,I,P,I,P,P,I,I,A
H,S,X,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,P,P,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,B
B,X,O,I,P,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,A,I,P,S,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
D,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,I,I,P,P,I,I,A
B,X,O,I,I,I,I,P,I,I,A
C,R,I,P,I,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
D,R,I,I,S,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
E,A,C,I,S,I,I,P,I,I,B
H,A,X,I,P,I,I,I,I,I,B
B,X,O,I,P,I,P,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
D,K,I,P,S,I,P,P,I,I,B
E,A,I,P,P,I,I,P,I,I,B
D,A,I,I,S,I,P,P,I,I,A
B,X,O,I,S,I,I,P,I,I,A
H,R,X,I,P,I,I,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
D,A,O,P,S,S,P,P,I,I,B
E,S,O,P,S,I,P,P,I,I,B
C,R,O,I,S,I,I,P,I,I,A
E,S,I,P,S,I,P,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
D,A,I,P,S,I,P,P,I,I,A
E,A,I,P,S,I,P,P,I,I,B
H,S,X,I,S,I,I,I,I,I,A
D,A,O,I,S,I,I,P,I,I,B
D,R,O,I,S,I,I,P,I,I,B
D,S,O,I,S,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
D,A,I,P,P,I,P,P,I,I,A
E,A,I,P,S,S,P,P,I,I,B
H,S,X,I,I,I,I,I,I,I,A
D,S,I,P,S,I,I,P,I,I,A
D,S,O,P,S,P,I,P,I,I,B
D,R,O,I,S,I,I,P,I,I,A
D,S,O,I,S,I,P,P,I,I,A
D,S,O,I,S,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,A
E,K,C,P,S,S,P,P,P,I,B
H,R,X,I,S,I,I,I,I,I,A
D,A,O,I,P,I,P,P,I,I,B
C,S,I,I,S,I,I,P,I,I,B
C,S,O,I,P,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,B
D,A,I,I,S,I,I,P,I,I,A
D,S,O,I,P,I,P,P,I,I,A
F,K,C,P,S,I,P,P,P,I,A
D,A,I,I,S,I,P,P,I,I,A
C,R,O,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
D,S,O,I,P,I,P,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
D,A,O,I,S,I,P,P,I,I,A
F,K,C,P,P,I,P,P,I,I,B
D,S,I,P,P,I,P,P,I,I,A
B,X,O,I,P,I,I,P,I,I,A
C,R,O,I,S,I,I,P,I,I,A
B,X,O,I,S,I,I,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
D,S,O,I,P,I,I,P,I,I,B
H,R,X,I,P,I,P,P,I,I,A
H,A,X,I,P,I,P,P,I,I,A
C,S,O,I,P,I,P,P,I,I,A
F,A,I,I,P,I,P,P,P,I,B
D,S,O,I,P,I,P,P,I,I,B
C,R,O,I,P,I,I,P,I,I,A
D,A,C,P,S,I,I,P,I,I,B
B,X,O,I,I,I,I,P,I,I,A
E,A,I,P,S,I,I,P,I,I,B
H,A,X,I,P,I,P,P,I,I,A
C,S,O,I,S,I,P,P,I,I,B
F,A,C,P,S,I,P,P,P,I,B
D,S,O,I,P,I,P,P,I,I,A
D,A,I,P,S,I,P,P,I,I,B
B,X,O,I,S,I,I,P,I,I,A
E,A,I,P,S,I,P,P,I,I,A
